epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.615,0.78801,1.83688,1.08287,0.64214,0.60678,0.65813,0.55169,0.64699,0.84688,1.00692,0.00332203,0.00332203,0.00332203
2,551.883,0.7298,0.9804,1.02751,0.64579,0.68079,0.70584,0.58214,0.69248,0.78877,1.03973,0.00661144,0.00661144,0.00661144
3,828.002,0.77173,0.92952,1.04774,0.6667,0.63255,0.68082,0.56178,0.7033,0.9495,1.04403,0.00985685,0.00985685,0.00985685
4,1102.17,0.79628,0.90217,1.06747,0.74259,0.64355,0.73816,0.61264,0.71846,0.82936,1.04585,0.009802,0.009802,0.009802
5,1376.63,0.77861,0.80777,1.05823,0.81889,0.74766,0.82764,0.69542,0.66276,0.65697,1.02523,0.009736,0.009736,0.009736
6,1650.46,0.74697,0.73197,1.03698,0.86886,0.75558,0.85232,0.71749,0.66395,0.64164,1.01482,0.00967,0.00967,0.00967
7,1924.24,0.73595,0.69571,1.03176,0.91201,0.80618,0.88497,0.74564,0.66057,0.56648,1.01339,0.009604,0.009604,0.009604
8,2198.83,0.72148,0.66933,1.02814,0.89899,0.80467,0.88488,0.75246,0.64612,0.53833,1.01049,0.009538,0.009538,0.009538
9,2473.09,0.7116,0.63139,1.0182,0.90368,0.83502,0.89721,0.76785,0.62574,0.51838,0.99944,0.009472,0.009472,0.009472
10,2747.43,0.70562,0.60778,1.01294,0.91499,0.78277,0.88058,0.75469,0.63126,0.52787,1.00393,0.009406,0.009406,0.009406
11,3021.6,0.69644,0.59129,1.01477,0.91004,0.81467,0.89468,0.77041,0.61073,0.50693,0.98814,0.00934,0.00934,0.00934
12,3295.53,0.68994,0.57168,1.00643,0.94286,0.83525,0.919,0.79333,0.6111,0.44148,0.98534,0.009274,0.009274,0.009274
13,3569.41,0.67926,0.55125,1.00604,0.93014,0.82622,0.89087,0.76699,0.61436,0.51874,0.9882,0.009208,0.009208,0.009208
14,3843.05,0.66235,0.52124,0.99204,0.95519,0.87604,0.93054,0.81163,0.59231,0.41226,0.98065,0.009142,0.009142,0.009142
15,4115.93,0.66359,0.50929,0.99022,0.95368,0.85204,0.92045,0.79787,0.61035,0.43976,0.99111,0.009076,0.009076,0.009076
16,4390,0.66065,0.50664,0.9992,0.96741,0.85256,0.9298,0.81236,0.58133,0.40437,0.9762,0.00901,0.00901,0.00901
17,4663.26,0.64976,0.50036,0.98869,0.96575,0.87967,0.93596,0.8197,0.57761,0.38824,0.9668,0.008944,0.008944,0.008944
18,4936.26,0.63853,0.4899,0.98392,0.96241,0.87506,0.93732,0.82309,0.56585,0.38227,0.96617,0.008878,0.008878,0.008878
19,5209.63,0.63042,0.48452,0.98215,0.96632,0.86197,0.93326,0.81968,0.57146,0.38334,0.96904,0.008812,0.008812,0.008812
20,5482.98,0.63195,0.46831,0.98296,0.95494,0.86914,0.92921,0.81805,0.5668,0.38968,0.96875,0.008746,0.008746,0.008746
21,5755.44,0.62327,0.45886,0.97324,0.9714,0.88172,0.94046,0.8295,0.55732,0.36307,0.95833,0.00868,0.00868,0.00868
22,6029.43,0.62277,0.45536,0.98069,0.96728,0.88444,0.9401,0.83142,0.55448,0.36443,0.95734,0.008614,0.008614,0.008614
23,6302.4,0.6171,0.44949,0.97472,0.9716,0.88388,0.94147,0.83442,0.54948,0.36238,0.95593,0.008548,0.008548,0.008548
24,6575.84,0.6114,0.43935,0.96974,0.95856,0.88362,0.93934,0.83481,0.54398,0.35819,0.95504,0.008482,0.008482,0.008482
25,6848.85,0.61019,0.43489,0.97794,0.96958,0.89659,0.94525,0.84091,0.54076,0.34235,0.9499,0.008416,0.008416,0.008416
26,7122.72,0.60061,0.42351,0.96986,0.97734,0.89961,0.94777,0.84611,0.53479,0.3315,0.94913,0.00835,0.00835,0.00835
27,7396.92,0.59473,0.4228,0.96799,0.97716,0.88927,0.94517,0.84365,0.53095,0.34014,0.94759,0.008284,0.008284,0.008284
28,7671.02,0.59407,0.41955,0.967,0.97476,0.8958,0.94571,0.8473,0.52751,0.33586,0.94627,0.008218,0.008218,0.008218
29,7944.33,0.58952,0.41799,0.96028,0.97747,0.89291,0.94552,0.84786,0.52766,0.33865,0.94318,0.008152,0.008152,0.008152
30,8218.06,0.5815,0.41567,0.95772,0.9757,0.89755,0.9447,0.84613,0.52243,0.33252,0.94387,0.008086,0.008086,0.008086
31,8491.87,0.58306,0.40545,0.95737,0.96634,0.89794,0.94501,0.84644,0.52159,0.32915,0.94418,0.00802,0.00802,0.00802
32,8765.19,0.57071,0.40394,0.95179,0.97721,0.89363,0.94923,0.8516,0.51921,0.31986,0.94272,0.007954,0.007954,0.007954
33,9038.75,0.57601,0.39457,0.95885,0.9714,0.90664,0.94861,0.85325,0.51966,0.33318,0.94329,0.007888,0.007888,0.007888
34,9312.53,0.57424,0.39865,0.95452,0.97574,0.89472,0.9488,0.8554,0.51294,0.3267,0.93637,0.007822,0.007822,0.007822
35,9586.7,0.56572,0.39298,0.95306,0.98,0.90554,0.95129,0.85186,0.51451,0.31543,0.94058,0.007756,0.007756,0.007756
36,9860.02,0.56194,0.38967,0.95174,0.97485,0.90895,0.94983,0.85703,0.508,0.31737,0.93561,0.00769,0.00769,0.00769
37,10133.5,0.55518,0.38678,0.94585,0.97657,0.90814,0.95321,0.85696,0.50651,0.3052,0.93395,0.007624,0.007624,0.007624
38,10407.9,0.55657,0.39111,0.94628,0.98076,0.90496,0.95192,0.85889,0.49982,0.30432,0.9358,0.007558,0.007558,0.007558
39,10681.5,0.55464,0.37827,0.94557,0.9756,0.90268,0.95186,0.86094,0.50259,0.31121,0.93103,0.007492,0.007492,0.007492
40,10955,0.55413,0.37884,0.94743,0.96541,0.91048,0.95021,0.85807,0.50778,0.3119,0.93857,0.007426,0.007426,0.007426
